section_no,file,source_pdf_page,book_title,detected_width_mm,detected_height_mm,scale_applied,dimension_matches,match_cost,confidence,contours,method,family_template,weight_kg_m,notes
70S-1001-1,70S-1001-1.dxf,14,70mm  Sliding,69.861,32.064,1.003196,W:70; H:32,4.02,HIGH,1,catalogue_trace,,,
70S-1101-1,70S-1101-1.dxf,14,70mm  Sliding,69.852,30.064,1.003064,H:30; W:70,4.4,HIGH,1,catalogue_trace,,,
70S-1201-1,70S-1201-1.dxf,14,70mm  Sliding,72.856,25.05,1.002917,W:73; H:25,6.61,HIGH,1,catalogue_trace,,,
70S-1401,70S-1401.dxf,14,70mm  Sliding,27.966,32.039,1.002434,W:28; H:32,5.27,HIGH,1,catalogue_trace,,,
70S-1501,70S-1501.dxf,14,70mm  Sliding,22.0,56.383,1.005193,W:22,3.86,MEDIUM,1,catalogue_trace,,,
70S-1701,70S-1701.dxf,14,70mm  Sliding,29.948,26.045,1.002026,W:30; H:26,0.01,HIGH,2,catalogue_trace,,,
70S-1006,70S-1006.dxf,15,70mm  Sliding,69.876,60.106,1.003418,W:70; H:60,0.24,HIGH,2,catalogue_trace,,,
70S-1206,70S-1206.dxf,15,70mm  Sliding,69.852,30.064,1.003064,H:30; W:70,4.28,HIGH,3,catalogue_trace,,,
70S-1304,70S-1304.dxf,15,70mm  Sliding,70.0,30.067,1.004583,W:70; H:30; H:31,5.87,MEDIUM,2,catalogue_trace,,,
70S-1601,70S-1601.dxf,15,70mm  Sliding,29.962,32.041,1.002485,W:30; H:30; W:32; H:32,1.76,HIGH,2,catalogue_trace,,,
70S-1601A,70S-1601A.dxf,15,70mm  Sliding,49.901,32.064,1.003196,W:50; H:32,4.53,HIGH,2,catalogue_trace,,,
70S-1914,70S-1914.dxf,15,70mm  Sliding,30.345,16.0,1.002527,W:29; W:30.4; H:16,3.81,MEDIUM,1,catalogue_trace,,,
70SFL-101,70SFL-101.dxf,19,70mm  Sliding & Fixed,70.0,22.809,1.005193,W:70,3.9,MEDIUM,1,catalogue_trace,,,
70SFL-102,70SFL-102.dxf,19,70mm  Sliding & Fixed,73.0,22.73,1.005487,W:73,4.11,MEDIUM,1,catalogue_trace,,,
70SFL-103,70SFL-103.dxf,19,70mm  Sliding & Fixed,69.912,61.077,1.003315,W:70; H:61,2.15,HIGH,2,catalogue_trace,,,
GL-107,GL-107.dxf,19,70mm  Sliding & Fixed,33.378,17.927,1.008252,W:33.8; H:17.7; H:19,6.92,MEDIUM,1,catalogue_trace,,,
70S-1002-1,70S-1002-1.dxf,23,Single  Sliding,39.947,33.445,1.003852,W:40; H:33.4,-0.07,HIGH,1,catalogue_trace,,,
70S-1102-1,70S-1102-1.dxf,23,Single  Sliding,39.94,20.331,1.002613,H:20.3; W:40,2.01,HIGH,1,catalogue_trace,,,
70S-1202-1,70S-1202-1.dxf,23,Single  Sliding,39.95,23.63,1.003928,H:23.6; W:40,1.01,HIGH,1,catalogue_trace,,,
70S-1402-1,70S-1402-1.dxf,23,Single  Sliding,22.034,31.95,1.000961,H:32; W:22,2.79,HIGH,1,catalogue_trace,,,
70S-1701A,70S-1701A.dxf,23,Single  Sliding,49.92,26.042,1.001884,H:26; W:50,1.03,HIGH,2,catalogue_trace,,,
70S-1801,70S-1801.dxf,23,Single  Sliding,22.033,29.956,1.000872,H:30; W:22,6.04,HIGH,1,catalogue_trace,,,
70S-1802,70S-1802.dxf,23,Single  Sliding,21.994,56.216,1.002971,W:22; H:56.2,2.61,HIGH,2,catalogue_trace,,,
80S-2002,80S-2002.dxf,25,80mm  Sliding,78.984,33.4,0.992423,W:80; H:33.1; H:33.1; H:33.7,4.95,HIGH,1,catalogue_trace,,,
80S-2101,80S-2101.dxf,25,80mm  Sliding,79.847,37.672,1.003267,H:37.6; W:80,8.92,HIGH,1,catalogue_trace,,,
80S-2501,80S-2501.dxf,25,80mm  Sliding,28.915,58.0,1.00152,H:58,1.44,MEDIUM,1,catalogue_trace,,,
80S-2601,80S-2601.dxf,25,80mm  Sliding,45.948,37.242,1.003124,H:37.2; W:46,1.15,HIGH,2,catalogue_trace,,,
80SFL-1001,80SFL-1001.dxf,25,80mm  Sliding,22.663,23.035,0.976891,W:23.2; H:23.2; W:22.5; H:22.5,3.45,MEDIUM,1,catalogue_trace,,,
80S-2201,80S-2201.dxf,26,80mm  Sliding,79.979,33.709,0.999085,W:80; H:33.7,3.21,HIGH,3,catalogue_trace,,,
80S-2601H,80S-2601H.dxf,26,80mm  Sliding,45.97,37.224,0.998081,W:46; H:37.2,1.03,HIGH,2,catalogue_trace,,,
80S-2701,80S-2701.dxf,26,80mm  Sliding,54.938,29.033,0.99827,W:55; H:29,0.55,HIGH,2,catalogue_trace,,,
